HDI rank,Country,GER-Pre-primary-female(2015),GER-Primary-female(2015),GER-Secondary-female(2015),Youth unemployment rate - ratio (2015),Total unempoyment rate - ratio(2015),"Share of paid employment in non-agriculture, female(2015)","Life expectancy at age 50, female(2015)",Old-age pension recipients-ratio(2006-2013)
,,2015,2015,2015,2015,2015,2015,2015,2006-2013
1,Norway,98,100,111,0.87,0.84,48.7,34.5,1.00
2,Australia,108,106,134,0.94,0.99,47.4,35.7,1.13
2,Switzerland,104,103,98,0.96,1.06,47.6,35.9,1.00
4,Germany,110,103,100,0.92,0.83,48.3,34.3,1.00
5,Denmark,97,101,132,0.95,1.04,49.1,33.1,1.00
5,Singapore,..,..,..,1.32,1.13,48.2,36.7,..
7,Netherlands,95,104,130,1.07,0.91,48.3,34.4,1.00
8,Ireland,110,103,127,0.90,0.76,51.0,34.0,0.66
9,Iceland,97,99,111,0.82,1.10,51.5,34.8,1.00
10,Canada,73,101,110,0.88,0.84,49.5,35.2,..
10,United States,72,99,98,0.92,0.96,47.7,33.4,0.96
12,"Hong Kong, China (SAR)",108,110,99,0.89,0.83,46.7,37.5,..
13,New Zealand,93,98,121,1.02,1.27,50.0,34.9,0.97
14,Sweden,95,124,142,0.94,0.97,50.0,34.8,1.00
15,Liechtenstein,102,102,103,..,..,..,..,..
16,United Kingdom,88,108,130,0.90,0.93,49.4,33.9,0.99
17,Japan,..,101,102,0.99,0.89,43.9,37.7,..
18,Korea (Republic of),92,99,97,0.92,0.94,43.5,35.9,..
19,Israel,111,104,103,1.05,1.01,49.4,35.0,..
20,Luxembourg,94,97,104,0.85,1.29,45.9,34.6,0.56
21,France,109,105,111,0.98,0.93,50.5,36.2,1.00
22,Belgium,118,105,175,0.96,0.85,48.8,34.4,0.68
23,Finland,79,101,152,0.87,0.86,51.8,34.7,1.00
24,Austria,101,102,97,0.96,0.89,48.6,34.7,1.21
25,Slovenia,92,99,111,0.90,1.25,47.3,34.3,0.86
26,Italy,99,101,101,1.07,1.12,45.6,36.2,0.69
27,Spain,98,105,130,0.99,1.15,48.6,36.1,0.48
28,Czech Republic,104,99,105,1.09,1.41,46.7,32.4,1.00
29,Greece,76,98,106,1.11,1.36,46.2,34.8,0.55
30,Brunei Darussalam,74,108,99,1.09,1.13,..,31.8,..
30,Estonia,87,100,108,0.95,0.97,50.9,32.7,0.99
32,Andorra,..,..,..,..,..,49.3,..,..
33,Cyprus,77,100,99,0.91,0.89,51.3,33.1,0.57
33,Malta,119,95,81,0.85,0.98,42.0,33.1,0.33
33,Qatar,58,99,103,2.13,13.26,13.4,31.1,..
36,Poland,77,101,107,1.02,1.06,47.3,32.6,0.95
37,Lithuania,88,103,105,1.02,0.77,..,30.9,1.00
38,Chile,126,99,101,1.19,1.29,40.1,36.0,0.96
