country,suicide_rate,total_litres_of_pure_alcohol,gdi,hdi,schooling_years,gni,poverty_index,satisfaction_index,unemployment_rate,access_to_family_planning,gii,maternal_mortality,adolescent_birth,labor_participation,human_development,num_mental_hospitals,basic_sanitation_percentage,preprimary,primary,secondary,youth_unempl,total_unempl,life_expectancy_50,sunshine_hours
Afghanistan,3.1,0.0,0.609,0.348,8.3,511.0,0.293,3.982854605,8.600000381000001,47.0,0.667,396,74.0,19.1,0.479,0.0,39.0,66.0,92.0,40.0,1.01,1.5,24.0,3085.0
Albania,2.4,4.9,0.959,0.747,14.4,7365.0,0.156609375,4.6066508289999994,17.10000038,12.9,0.267,29,21.7,40.3,0.764,0.06,98.0,87.0,111.0,93.0,0.93,0.84,32.5,2456.8
Algeria,1.3,0.7,0.854,0.665,14.6,4022.0,0.156609375,4.778841456278482,11.19999981,77.2,0.429,140,10.6,16.8,0.745,0.04,87.0,79.0,115.0,102.0,1.15,1.95,31.1,2847.0
Angola,14.3,5.9,0.854,0.665,8.7,5073.0,0.156609375,4.778841456278482,6.1999998089999995,24.2,0.672,477,164.3,59.9,0.5329999999999999,0.01,39.0,94.0,100.0,23.0,1.08,1.21,23.5,2341.0
Argentina,4.8,8.3,0.982,0.813,18.4,12875.0,0.156609375,6.69713068,7.1999998089999995,86.0,0.362,52,63.8,48.4,0.8270000000000001,0.13,95.0,72.0,110.0,110.0,1.13,1.46,32.6,2638.7
Armenia,1.8,3.8,0.993,0.736,13.8,5535.0,0.156609375,4.34831953,18.29999924,40.2,0.293,25,23.0,54.9,0.743,0.32,92.0,60.0,105.0,102.0,1.15,1.26,30.8,2457.5
Australia,5.6,10.4,0.978,0.927,20.9,34271.0,0.001,7.309060574,6.099999905,72.0,0.12,6,14.1,58.6,0.9390000000000001,0.07,100.0,108.0,106.0,134.0,0.94,0.99,35.7,2643.2
Austria,5.3,9.7,0.957,0.87,16.2,29829.0,0.001,7.07644701,5.6999998089999995,96.0,0.078,4,7.1,54.7,0.893,0.08,100.0,101.0,102.0,97.0,0.96,0.89,34.7,1884.0
Azerbaijan,1.1,1.3,0.94,0.732,12.6,11029.0,0.156609375,5.146774768999999,5.0,40.2,0.326,25,59.8,61.9,0.759,0.12,89.0,24.0,105.0,102.0,1.11,1.39,28.5,2207.4
Bahamas,0.4,6.3,0.997,0.783,13.2,18070.0,0.156609375,4.778841456278482,12.0,88.4,0.362,80,29.6,69.4,0.792,0.12,92.0,99.0,109.0,95.0,1.16,1.08,32.2,2878.4
Bahrain,2.9,2.0,0.97,0.806,15.1,25717.0,0.156609375,6.00737524,1.100000024,69.0,0.233,15,13.5,39.2,0.8240000000000001,0.12,100.0,55.0,108.0,94.0,2.01,8.28,29.0,3353.6
Bangladesh,6.6,0.0,0.927,0.556,10.4,2379.0,0.188,4.633473873,4.1999998089999995,72.5,0.52,176,83.0,43.1,0.579,0.0,47.0,32.0,115.0,61.0,1.03,1.15,27.6,2066.0
Barbados,0.1,6.3,1.006,0.795,16.7,11801.0,0.004,4.778841456278482,11.39999962,70.0,0.291,27,40.7,62.4,0.795,0.39,96.0,86.0,94.0,111.0,1.09,1.06,30.0,3028.0
Belarus,5.4,14.4,1.021,0.803,16.1,12327.0,0.156609375,5.718907832999999,0.5,74.2,0.144,4,18.2,54.5,0.7959999999999999,0.15,94.0,103.0,99.0,106.0,1.03,0.58,29.3,1778.0
Belgium,9.1,10.5,0.978,0.881,16.7,32416.0,0.001,6.904219151,43228.0,90.0,0.073,7,8.2,48.2,0.8959999999999999,0.64,99.0,118.0,105.0,175.0,0.96,0.85,34.4,1489.6
