Country,Year,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%)
Afghanistan,2015,47
Albania,2013,12.9
Algeria,2013,77.2
Angola,2016,24.2
Antigua and Barbuda,2014,58.2
Argentina,2015,86
Armenia,2016,40.2
Australia,2015,72
Austria,2016,96
Azerbaijan,2016,40.2
Bahamas,2014,88.4
Bahrain,2015,69
Bangladesh,2014,72.5
Barbados,2012,70
Belarus,2012,74.2
Belgium,2013,90
Belize,2016,65.9
Benin,2014,24.5
Bhutan,2010,84.6
Bolivia,2008,42.8
Bosnia and Herzegovina,2012,21.9
Botswana,2015,45
Brazil,2007,89.3
Brunei,2016,42
Bulgaria,2015,70
Burkina Faso,2017,45
Burundi,2017,39.3
Cabo Verde,2015,24.2
Cambodia,2014,56.4
Cameroon,2014,40.1
Canada,2015,96
Central African Republic,2011,28.7
Chad,2015,17.5
Chile,2015,86.5
China,2015,86.5
Colombia,2016,86.5
Comoros,2012,27.8
Congo,2015,38.5
Costa Rica,2011,89.1
Cote d'Ivoire,2016,31.1
Croatia,2016,82
Cuba,2014,88.4
Cyprus,2015,84
Czech Republic,2012,90
Democratic People's Republic of Korea,2007-2009,15.6
Democratic Republic of Congo,2014,15.6
Denmark,2016,97.4
Djibouti,2007-2012,59.4
Dominican Republic,2015,84.1
Ecuador,2012,80.7
Egypt,2014,80
El Salvador,2014,81.9
Equatorial Guinea,2011,20.5
Eritrea,2010,19.6
Estonia,2016,72
Eswatini,2014,80.6
Ethiopia,2017,59.4
Fiji,2015,56
Finland,2014,96
France,2016,98
Gabon,2012,33.7
Gambia,2013,23.9
Georgia,2015,74
Germany,2016,98
Ghana,2017,46.2
Grenada,2016,50
Guatemala,2015,65.6
Guinea,2016,21.5
Guinea-Bissau,2014,37.6
Guyana,2014,52.5
Haiti,2017,44
Honduras,2012,76
Hungary,2014,86
Iceland,2016,86
India,2016,72
Indonesia,2017,77.9
Iran,2011,68.6
Iraq,2011,59.3
Ireland,2015,76
Israel,2014,86
Italy,2014,94
Jamaica,2009,82.9
Japan,2015,94
Jordan,2012,58
Kazakhstan,2011,79.6
Kenya,2016,77.6
Kiribati,2009,35.8
Kuwait,2005-2015,68.9
Kyrgyzstan,2012,62.1
Laos,2012,61.3
Latvia,2016,74
Lebanon,2016,46
Lesotho,2014,76.1
Liberia,2013,37.2
Libya,2007,29.6
Lithuania,2015,72
Luxembourg,2009,96
Madagascar,2009,49.6
Malawi,2016,74.6
Malaysia,2015,42
Maldives,2009,42.7
Mali,2015,46
Malta,2016,89
Mauritania,2015,30.4
Mauritius,2014,41.9
Mexico,2015,80.9
Micronesia,2006,56
Monaco,2015,86
Mongolia,2013,68.3
Montenegro,2013,34.1
Morocco,2011,74.8
Mozambique,2015,50.4
Myanmar,2016,75
Namibia,2013,75.1
Nepal,2017,56.1
Netherlands,2015,96
New Zealand,2015,96
Nicaragua,2012,89.8
Niger,2017,45.4
Nigeria,2017,26.3
Norway,2016,96
Oman,2014,39.6
Pakistan,2013,47
Panama,2013,75.9
Papua New Guinea,2007,40.6
Paraguay,2016,82.6
Peru,2016,66.1
Philippines,2013,51.5
Poland,2014,92
Portugal,2016,94
Qatar,2012,68.9
Korea,2015,86
Moldova,2012,60.4
Romania,2015,79
Russian Federation,2006-2011,68
Rwanda,2015,65.9
Saint Lucia,2012,72.4
Saint Vincent and the Grenadines,2009-2014,72
Samoa,2014,39.4
Sao Tome and Principe,2014,50.3
Saudi Arabia,2016,68.9
Senegal,2016,47.4
Serbia,2014,25.1
Seychelles,2012,42
Sierra Leone,2013,37.5
Singapore,2016,90
Slovakia,2014,86
Slovenia,2012,86
Solomon Islands,2015,38
Somalia,2004-2006,38
South Africa,2016,77.9
South Sudan,2010,5.6
Spain,2014,96
Sri Lanka,2016,74.1
Sudan,2014,30.2
Suriname,2010,73.2
Sweden,2015,96
Switzerland,2015,99
Syria,2009,53.3
Tajikistan,2012,50.8
Thailand,2016,89.2
Macedonia,2011,22.3
Timor,2016,46.1
Togo,2014,32.1
Tonga,2012,47.9
Trinidad and Tobago,2011,58.2
Tunisia,2012,73.2
Turkey,2013,59.7
Turkmenistan,2016,75.6
Tuvalu,2007,41
Uganda,2017,49.9
Ukraine,2012,68
United Arab Emirates,2015,68.9
United Kingdom,2015-2016,95
Tanzania,2016,52.9
USA,2014,96
Uruguay,2015,72
Uzbekistan,2015,65
Vanuatu,2013,50.7
Venezuela,2009,86
Vietnam,2014,69.7
Yemen,2013,46.9
Zambia,2014,63.8
Zimbabwe,2015,85.2
