,2015,2015,2014,2014,2013,2013,2012,2012,2011,2011,2010,2010,2009,2009,2008,2008,2007,2007,2006,2006,2005,2005,2004,2004,2003,2003,2002,2002,2001,2001,2000,2000
,Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%),Population using at least basic sanitation services (%),Population using safely managed sanitation services (%)
Country,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
Afghanistan,39,,38,,37,,36,,35,,34,,32,,31,,30,,29,,28,,27,,26,,25,,24,,24,
Albania,98,65,98,65,97,64,97,64,96,63,96,62,95,62,94,61,94,60,93,60,92,59,91,58,91,57,90,56,89,55,88,55
Algeria,87,19,87,19,87,19,87,20,87,20,87,20,86,20,86,20,86,20,86,20,85,21,85,21,85,21,84,21,84,21,84,21
Andorra,100,100,100,100,100,100,100,100,100,100,100,95,100,86,100,77,100,68,100,60,100,51,100,42,100,33,100,24,100,15,100,6
Angola,39,,38,,37,,36,,34,,33,,32,,31,,29,,28,,27,,25,,24,,23,,22,,20,
Antigua and Barbuda,88,,88,,88,,87,,87,,86,,86,,86,,85,,85,,84,,84,,84,,83,,83,,82,
Argentina,95,26,95,27,95,27,95,27,95,27,95,27,95,27,95,28,95,28,95,28,95,28,95,28,95,28,95,28,95,29,95,29
Armenia,92,,92,,91,,91,,91,,91,,91,,91,,91,,91,,91,,91,,91,,91,,90,,90,
Australia,100,74,100,73,100,73,100,72,100,71,100,70,100,69,100,69,100,68,100,67,100,66,100,65,100,65,100,65,100,65,100,65
Austria,100,97,100,97,100,97,100,97,100,97,100,97,100,97,100,97,100,97,100,97,100,97,100,97,100,97,100,97,100,97,100,97
Azerbaijan,89,,88,,86,,85,,83,,82,,80,,78,,77,,75,,74,,72,,70,,69,,67,,66,
Bahamas,92,,92,,92,,92,,92,,91,,91,,91,,91,,90,,90,,90,,89,,89,,89,,89,
Bahrain,100,93,100,93,100,93,100,93,100,93,100,93,100,93,100,93,100,93,100,93,100,93,100,93,100,93,100,93,100,93,100,93
Bangladesh,47,,46,,44,,43,,41,,40,,39,,37,,36,,34,,33,,31,,30,,28,,27,,25,
Barbados,96,,96,,96,,95,,95,,94,,93,,93,,92,,92,,91,,90,,90,,89,,88,,88,
Belarus,94,76,94,77,94,78,94,78,94,79,95,79,95,80,95,80,95,81,95,81,95,81,95,82,95,82,95,82,95,82,95,82
Belgium,99,97,99,95,99,93,99,90,99,88,99,86,99,83,99,81,99,79,99,77,99,74,99,72,99,70,99,70,99,70,99,70
Belize,87,,87,,87,,86,,86,,86,,85,,85,,85,,84,,84,,84,,83,,83,,83,,83,
Benin,14,,14,,13,,13,,13,,13,,12,,12,,12,,11,,11,,11,,11,,10,,10,,10,
Bhutan,63,,62,,62,,61,,61,,60,,59,,59,,58,,57,,57,,56,,55,,54,,53,,53,
Bolivia (Plurinational State of),53,19,52,19,51,18,50,18,49,18,48,18,47,17,46,17,45,17,44,16,43,16,42,16,41,16,40,15,39,15,38,15
Bosnia and Herzegovina,95,23,95,23,95,23,95,23,95,23,95,23,95,23,95,23,95,23,95,23,95,23,95,23,95,23,95,23,95,23,95,23
Botswana,60,,60,,60,,59,,59,,59,,58,,58,,57,,57,,57,,56,,56,,55,,55,,54,
Brazil,86,39,85,38,85,37,84,36,83,35,82,34,81,33,80,32,79,31,79,30,78,30,77,29,76,28,75,28,74,27,73,26
Brunei Darussalam,96,,96,,96,,96,,96,,96,,96,,96,,96,,,,,,,,,,,,,,,
Bulgaria,86,74,86,74,86,73,86,73,86,72,86,72,86,71,86,71,86,70,86,70,86,69,86,69,86,68,86,68,86,68,86,67
Burkina Faso,23,,22,,21,,20,,19,,18,,17,,16,,15,,14,,14,,13,,12,,11,,10,,10,
Burundi,50,,50,,50,,49,,49,,48,,47,,47,,46,,45,,45,,44,,43,,43,,42,,41,
Cabo Verde,65,,65,,64,,63,,61,,59,,57,,55,,52,,50,,48,,46,,44,,42,,40,,37,
Cambodia,49,,46,,44,,41,,39,,37,,34,,32,,29,,27,,24,,22,,20,,17,,15,,12,
Cameroon,39,,39,,39,,39,,39,,39,,39,,39,,39,,39,,39,,39,,39,,40,,40,,40,
Canada,99,77,99,77,99,77,99,77,99,77,99,76,99,76,99,76,99,75,99,75,99,74,99,74,99,74,99,73,99,73,99,73
Central African Republic,25,,25,,25,,25,,24,,23,,22,,21,,21,,20,,19,,18,,17,,17,,16,,15,
Chad,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
Chile,100,85,100,81,99,77,99,73,98,69,98,65,97,61,97,57,96,53,96,49,95,45,94,42,94,38,93,34,92,31,92,27
China,75,60,74,57,73,54,72,52,71,49,70,47,69,44,68,42,67,40,66,37,65,35,64,33,63,31,62,30,61,29,61,29
Colombia,84,20,84,19,83,19,83,19,82,19,82,19,81,19,81,18,80,18,79,18,79,18,78,18,78,17,77,17,76,17,76,17
Comoros,34,,34,,34,,33,,33,,32,,31,,31,,30,,30,,29,,29,,28,,28,,27,,27,
Congo,15,,15,,15,,15,,14,,14,,14,,14,,14,,14,,13,,13,,13,,13,,13,,13,
Cook Islands,98,,98,,98,,97,,97,,96,,96,,96,,95,,95,,94,,94,,93,,93,,93,,92,
Costa Rica,97,,97,,97,,97,,97,,96,,96,,96,,96,,96,,95,,95,,95,,95,,94,,94,
Côte d'Ivoire,30,,29,,29,,28,,28,,27,,27,,26,,26,,25,,25,,24,,24,,23,,23,,22,
Croatia,97,60,97,60,97,60,97,60,97,60,97,60,97,60,97,60,97,60,97,60,97,60,97,60,97,60,97,60,97,60,97,60
